Models, Accuracy, Precision, Recall, F1
Logistic Regression,0.8077933450087565,0.832282471626734,0.6832298136645962,0.7504263786242183
Random Forest Classifier,0.771891418563923,0.7651966626936829,0.6645962732919255,0.7113573407202216
